address,company,detail,position
东莞,"
华为
",本科以上 | 3年以上 | 全职,云服务运维工程师798098859931
深圳,"
华为
",本科以上 | 5年以上 | 全职 | 36.0-60.0万元,游戏中心产品部运营经理
深圳,"
华为
",本科以上 | 10年以上 | 全职,解决方案销售解决方案总监
深圳,"
华为
",本科以上 | 10年以上 | 全职,生态能力产品总监
上海,"
华为
",硕士以上 | 5年以上 | 全职,磁材料与磁器件技术专家及IPD专家
深圳,"
华为
",本科以上 | 10年以上 | 全职 | 48.0-60.0万元,财经专家
深圳,"
华为
",本科以上 | 6-7年 | 全职 | 24-47万,人力资源经理
成都,"
华为
",本科以上 | 3年以上 | 全职 | 24.0-36.0万元,解决方案运维开发工程师
成都,"
华为
",本科以上 | 3年以上 | 全职 | 18.0-36.0万元,大数据开发工程师
西安,"
华为
",本科以上 | 5年以上 | 全职,GO语言专家
东莞,"
华为
",本科以上 | 5年以上 | 全职 | 24.0-42.0万元,光通信开发工程师
北京,"
华为
",本科以上 | 3年以上 | 全职,高级软件工程师
